Species,X,Y,Response
Crotalus triseriatus,-99.705152,19.311027,1
Crotalus triseriatus,-99.246379,19.25405,1
Crotalus triseriatus,-99.246468,19.254134,1
Crotalus triseriatus,-99.322647,19.232744,1
Crotalus triseriatus,-99.27536,19.216242,1
Crotalus triseriatus,-99.35877,19.299754,1
Crotalus triseriatus,-98.646106,19.08685,1
Crotalus triseriatus,-99.686668,19.308889,1
Crotalus triseriatus,-99.300307,19.189366,1
Crotalus triseriatus,-99.693936,19.333448,1
Crotalus triseriatus,-99.339373,19.06906,1
Crotalus triseriatus,-99.704949,19.311787,1
Crotalus triseriatus,-99.698873,19.311736,1
Crotalus triseriatus,-99.708908,19.31046,1
Crotalus triseriatus,-99.215921,19.087478,1
Crotalus triseriatus,-99.736506,19.368885,1
Crotalus triseriatus,-97.23489,19.007682,1
Crotalus triseriatus,-99.24199,19.183487,1
Crotalus triseriatus,-99.10644,19.059662,1
Crotalus triseriatus,-99.508694,19.336869,1
Crotalus triseriatus,-99.431711,19.363435,1
Crotalus triseriatus,-99.580315,19.817658,1
Crotalus triseriatus,-99.348654,19.343839,1
Crotalus triseriatus,-99.454263,19.246396,1
Crotalus triseriatus,-99.236623,19.091271,1
Crotalus triseriatus,-97.471476,19.70749,1
Crotalus triseriatus,-99.461316,19.362241,1
Crotalus triseriatus,-99.177335,19.149471,1
Crotalus triseriatus,-99.415461,19.385234,1
Crotalus triseriatus,-99.690982,19.311286,1
Crotalus triseriatus,-99.755085,19.83213,1
Crotalus triseriatus,-99.713836,19.228119,1
Crotalus triseriatus,-99.709699,19.309366,1
Crotalus triseriatus,-99.804512,19.268049,1
Crotalus triseriatus,-97.192614,19.527656,1
Crotalus triseriatus,-99.168144,19.146557,1
Crotalus triseriatus,-97.133142,19.144628,1
Crotalus triseriatus,-99.28182,19.314661,1
Crotalus triseriatus,-99.454587,19.24671,1
Crotalus triseriatus,-99.316457,19.067928,1
Crotalus triseriatus,-99.276219,19.180441,1
Crotalus triseriatus,-97.481169,19.717248,1
Crotalus triseriatus,-99.399508,19.318712,1
Crotalus triseriatus,-99.400483,19.321714,1
Crotalus triseriatus,-100.337232,19.715178,1
Crotalus triseriatus,-99.320119,19.295788,1
Crotalus triseriatus,-99.320144,19.2958,1
Crotalus triseriatus,-99.320129,19.295779,1
Crotalus triseriatus,-99.258443,19.207768,1
Crotalus triseriatus,-99.404746,19.319921,1
Crotalus triseriatus,-99.404693,19.320032,1
Crotalus triseriatus,-99.166447,19.148588,1
Crotalus triseriatus,-99.511315,19.39388,1
Crotalus triseriatus,-99.407121,19.317202,1
Crotalus triseriatus,-99.684654,19.17189,1
Crotalus triseriatus,-99.408305,19.306387,1
Crotalus triseriatus,-99.396598,19.310532,1
Crotalus triseriatus,-98.64585,19.084152,1
Crotalus triseriatus,-99.511839,19.393052,1
Crotalus triseriatus,-99.511927,19.392281,1
Crotalus triseriatus,-99.381629,19.378282,1
Crotalus triseriatus,-99.402263,19.310856,1
Crotalus triseriatus,-97.109697,19.625927,1
Crotalus triseriatus,-97.130823,19.573092,1
Crotalus triseriatus,-99.258153,19.292478,1
Crotalus triseriatus,-99.40151,19.31105,1
Crotalus triseriatus,-98.726944,19.324722,1
Crotalus triseriatus,-99.402923,19.309897,1
